Id;Label
MN0000331910;Barry Ryan
MN0000167877;Frankie Ford
MN0000838195;Percy Sledge
MN0000004047;Ali Thomson
MN0000820596;Johnny Tillotson
MN0000167878;Frankie J
MN0000212614;Deodato
MN0000106514;Boots Randolph
MN0000021128;Trillville
MN0000953998;Mantovani
MN0000061988;Blue Mink
MN0000239827;John Mayer
MN0000027102;Terry Stafford
MN0000748994;Trick Daddy Featuring Ludacris
MN0000255576;Honeymoon Suite
MN0000479687;Midge Ure
MN0000272689;Lil Wayne
MN0000390532;Oingo Boingo
MN0000124492;Beck
MN0000996972;Miranda Cosgrove Featuring Drake Bell
MN0000924318;Monchy & Alexandra
MN0000763798;Bobby Comstock
MN0000572327;Marcy Playground
MN0000809527;The Lost Boyz
MN0000148207;The Devotions
MN0000921762;Sugarloaf
MN0000314505;Vanessa Williams
MN0000614823;Brenda Russell
MN0000404434;The Moody Blues
MN0000781370;Chumbawamba
MN0000087305;Kid Frost
MN0000977198;Vanessa Hudgens
MN0000605965;Atlanta Rhythm Section
MN0000193161;Jeannie Ortega Featuring Papoose
MN0000631078;David Ball
MN0000118189;Clay Walker
MN0000391933;Rainbow
MN0000170454;Carla Thomas
MN0000632986;Jordan Pruitt
MN0000753963;The Association
MN0000221844;Rusted Root
MN0000820434;Whitney Houston
MN0000101371;Josh Gracin
MN0000181376;UB40
MN0000303061;Junior M.A.F.I.A.
MN0000954322;Daniel Bedingfield
MN0000138332;The Crystals
MN0000204921;Tycoon
MN0000125749;Barbara Mason
MN0000080780;Sheryl Crow
MN0001900173;Kano
MN0002853828;The Heartbeats
MN0000625014;Brian Auger
MN0000067900;The Foundations
MN0000061769;The Casinos
MN0000673908;Hi-C
MN0000514563;Muse
MN0000018176;Teddy Riley Featuring Guy
MN0000136640;The KLF Featuring Tammy Wynette
MN0000177497;Elisa Fiorillo
MN0000852855;Roxy Music
MN0000746841;Trooper
MN0000759187;Blaque
MN0000251595;Whitesnake
MN0000258882;Jon Secada
MN0000325459;R.E.M.
MN0000014651;Patsy Cline
MN0000048605;Sons Of Funk
MN0000551115;J. Holiday
MN0000013384;Tanya Tucker
MN0000205385;Eternity's Children
MN0002853033;Lale Anderson
MN0000515560;Breathless
MN0000231576;Walter Murphy
MN0000214162;Vince Gill
MN0000418981;The Shirelles
MN0000562663;Harpers Bizarre
MN0001888550;The Flying Machine
MN0000683795;Yello
MN0000918933;The T-Bones
MN0000484397;The Ovations
MN0000446509;Metallica
MN0000103033;Chuck Jackson
MN0000799108;Gary Portnoy
MN0000890463;Mickey Murray
MN0000484880;Sugarland
MN0000056625;Big Country
MN0000756518;The Bobbettes
MN0000610346;Aimee Mann
MN0000414251;Otis Redding
MN0000084446;India.Arie
MN0000130764;Face To Face
MN0000806507;Tyrone Davis
MN0000664093;Hamilton Bohannon
MN0000157314;Tag Team
MN0000852405;Rotary Connection
MN0000094813;Black Rob
MN0000667971;Hank Jacobs
MN0000238069;Robin S.
MN0000040124;The Ataris
MN0000898479;The Smithereens
MN0000350934;Jimmy Clanton
MN0000072003;Ice-T
MN0000282752;Robbie Dupree
MN0000540883;Guns N' Roses
MN0000721416;Paris Hilton
MN0000058361;Betty Everett
MN0000898188;Mint Condition
MN0000631774;The Byrds
MN0000640042;Bruce Willis
MN0000084209;Kiss
MN0000138335;Dobie Gray
MN0000052900;The Lovin' Spoonful
MN0000112360;Kon Kan
MN0000807121;Lou Christie
MN0000802109;Jibbs Featuring Chamillionaire
MN0000549192;Ghost Town DJ's
MN0001481922;Buchanan Brothers
MN0000463435;Michael Nesmith
MN0000059949;B.T. Express
MN0000664272;Timbaland Featuring Keri Hilson
MN0000852007;Roy Orbison
MN0000029808;Tesla
MN0000203168;Dru Down
MN0000987621;Foreigner
MN0000903609;Jim Reeves
MN0000354609;Kajagoogoo
MN0000892827;The Notorious B.I.G.
MN0000933402;Tommy Cash
MN0000892823;Mick Jagger
MN0000725395;Fergie
MN0000779064;J.J. Barnes
MN0000094252;Bing Crosby
MN0000489059;The Pentagons
MN0000301404;Rick Derringer
MN0001161529;The Headboys
MN0000456536;Nonchalant
MN0000674332;Herb Alpert
MN0000127044;Count Basie
MN0000508449;Alan O'Day
MN0000796700;Carole Bayer Sager
MN0001606686;Gorky Park
MN0000120023;The Conscious Daughters
MN0000034916;Sniff 'N' The Tears
MN0000038389;The Banana Splits
MN0000926108;Montgomery Gentry
MN0000627787;Jamey Johnson
MN0000226939;Wadsworth Mansion
MN0000286115;Lorrie Morgan
MN0000565013;Hayley Mills
MN0000342004;Phil Vassar
MN0000600264;Mr. Big
MN0000466759;Michael W. Smith
MN0000206241;Eurythmics
MN0000038469;Beastie Boys
MN0000840050;Jefferson Starship
MN0000800614;2nd II None
MN0000158801;Talib Kweli
MN0000868456;Melba Montgomery
MN0001030695;Owl City
MN0000811598;David Ruffin
MN0000038466;Andy Williams
MN0000011707;Steely Dan
MN0002010578;Stillwater
MN0003191462;Prism
MN0000681154;Yeah Yeah Yeahs
MN0000567707;The Superbs
MN0000203765;Wet Wet Wet
MN0000204756;The Dove Shack
MN0000609000;Al Caiola
MN0000382880;Red Rockers
MN0000093632;Robert Palmer
MN0000049062;Simple Plan
MN0000234384;Lil' Romeo
MN0002461406;Harold Dorman
MN0000354733;Los Lobos
MN0000101776;Jack Nitzsche
MN0000932665;Alanis Morissette
MN0000291687;Robert Tepper
MN0000146324;The Earls
MN0000029600;Smash Mouth
MN0000767883;Kevin Denney
MN0000450947;Unk
MN0000163213;Tweet
MN0000242211;Saliva
MN0000411689;Ray Peterson
MN0000092942;Chic
MN0000987951;Ce Ce Peniston
MN0001846594;Marilyn Sellars
MN0000316834;Marvin Gaye
MN0000191878;The Brass Ring
MN0000007689;TLC
MN0000317417;Quicksilver Messenger Service
MN0000817315;Weird Al Yankovic
MN0000169677;Ernie K-Doe
MN0000543055;Georgie Fame
MN0000029156;Ted Taylor
MN0000689884;David Rose
MN0000094205;Chet Atkins
MN0000568709;Darren Hayes
MN0000422891;Nivea
MN0000387720;Michael Bolton
MN0000537548;Busta Rhymes
MN0000758262;Bloodrock
MN0000090011;Ini Kamoze
MN0000673486;Marc Anthony
MN0000122891;Barbara George
MN0000375287;Narvel Felts
MN0000314050;Narada Michael Walden
MN0000224826;Wade Flemons
MN0000147785;Eve 6
MN0000142208;Eddie Murphy
MN0000378624;Quincy Jones Featuring Ray Charles 
MN0000069986;Kenny Rogers
MN0000037931;The Alarm
MN0000750131;Terri Clark
MN0000006334;Tony Bennett
MN0000833352;Liquid Gold
MN0000787810;Barry Mann
MN0000617689;Jason Michael Carroll
MN0000563390;Colbie Caillat
MN0000820056;White Plains
MN0000754720;The Soul Children
MN0000532442;George Burns
MN0000921359;The Tremeloes
MN0000064303;Badfinger
MN0000103447;Kim Wilde
MN0000738402;Grandmaster Flash
MN0000768321;INXS
MN0000676818;Darryl Worley
MN0000822837;Dickie Goodman
MN0000768328;Kellie Coffey
MN0000007448;The Delfonics
MN0000663867;Gigi D'Agostino
MN0000815039;John Lee Hooker
MN0000270060;Marie Osmond
MN0000123702;D.H.T.
MN0000270064;Lil Rob
MN0002453941;Portrait
MN0000196544;Della Reese
MN0000748189;Trey Lorenz
MN0000073749;The Game
MN0000956973;Hilary Duff
MN0000503460;Adele
MN0000086927;Kelly Clarkson
MN0000397412;The McGuire Sisters
MN0000140176;Eddie Fisher
MN0000619845;Toni Childs
MN0000051909;Carpenters
MN0000319675;Qkumba Zoo
MN0000236707;Jeanne Black
MN0001452648;Mick Jackson
MN0000167517;Dire Straits
MN0000299668;KC & The Sunshine Band
MN0000173925;Eddie Holman
MN0000739041;Fountains Of Wayne
MN0000085095;The Ikettes
MN0000768926;Bill Quateman
MN0000008828;Spice Girls
MN0001192244;Duke Jupiter
MN0000934069;Brenda Lee
MN0000075591;The Corrs
MN0000677781;Wilson Pickett
MN0000239921;Depeche Mode
MN0000744573;TKA
MN0000913490;Cheyenne Kimball
MN0000994823;Lady GaGa
MN0000866491;Maxwell
MN0000242543;West Street Mob
MN0000239855;Robert Ellis Orrall
MN0000511235;Alana Davis
MN0003455865;The Thirteenth Floor Elevators
MN0000633358;Danity Kane
MN0001003036;Paul Chaplain
MN0000809702;David Hudson
MN0001758769;Mike Clifford
MN0000046381;Berlin
MN0000175538;First Choice
MN0000772363;Boy Meets Girl
MN0000209142;George Harrison
MN0001986465;The Frantics
MN0000567153;Daughtry
MN0000114342;The Doors
MN0000573209;High Inergy
MN0000018419;Patti Drew
MN0000451483;Genius/GZA Featuring Method Man
MN0000824022;Little Richard
MN0000186185;Celine Dion
MN0000103484;Indigo Girls
MN0000078532;Inner Circle
MN0000226312;Lil Suzy
MN0000475209;The Strangeloves
MN0000340152;Ratt
MN0000571185;The Sunrays
MN0000778925;Hellogoodbye
MN0000765011;Ian Whitcomb
MN0000014822;Sister Hazel
MN0001393658;The Outsiders
MN0000026367;Skid Row
MN0000554604;The Afters
MN0000033580;Super Cat
MN0000988627;Fuel
MN0000298824;Rodney Atkins
MN0000832799;Joy Of Cooking
MN0000282288;Jesse Jaymes
MN0000531653;The Raconteurs
MN0000185888;Voice Of The Beehive
MN0000614830;Metro Station
MN0000300801;Little Peggy March
MN0000342834;Mel Carter
MN0000315336;Perry Como
MN0000367417;Martha Wash
MN0000318882;Jason Aldean
MN0000759422;The Escape Club
MN0000339577;Meat Puppets
MN0000170625;Eddie Holland
MN0000119469;Corey Hart
MN0000101953;Klymaxx
MN0000742800;Alfonzo Hunter
MN0000591124;Moon Martin
MN0000222748;Vixen
MN0000226402;Lloyd Banks
MN0000022472;She Moves
MN0000591692;Ace Cannon
MN0000133057;Jo Dee Messina
MN0000152228;Club Nouveau
MN0000228444;Lee Ritenour
MN0000057835;Bill Conti
MN0000195368;Dorothy Norwood
MN0000013393;Tower Of Power
MN0000341422;Ray Barretto
MN0000784122;Cupid
MN0000609396;Tom Jones
MN0000996127;Demi Lovato
MN0000664883;Gloria Lynne
MN0000158451;Climax Blues Band
MN0000839369;Little Eva
MN0000847756;Marlena Shaw
MN0000626463;Stone Temple Pilots
MN0000352072;Richie Rich
MN0000600075;Adam Wade
MN0000050967;The Lost Trailers
MN0000232701;Jeannie C. Riley
MN0000077536;Bill Medley
MN0000887806;Oleta Adams
MN0000649120;Bucky Covington
MN0000043714;Bee Gees
MN0000610339;Toad The Wet Sprocket
MN0000806991;Vikki Carr
MN0003052691;Buddy Knox
MN0000334193;New Order
MN0000135306;The Cryan' Shames
MN0000801894;Gene Cotton
MN0000346336;Pink Floyd
MN0000620495;The Breeders
MN0000383056;The Click Five
MN0000131681;Pat Boone
MN0000093849;Black Oak Arkansas
MN0000484343;The Paragons
MN0003116716;Eye To Eye
MN0000847374;Jesse McCartney Featuring T-Pain
MN0000418955;The Shangri-Las
MN0000545875;Get Wet
MN0000291054;Robert Hazard
MN0000303050;Rufus Thomas
MN0000864411;Justin Moore
MN0000245250;Juanes
MN0000090389;Idris Muhammad
MN0000249554;Scott Mckenzie
MN0000626268;Buffy Sainte-Marie
MN0000147082;James Ingram
MN0000100610;Klique
